index,category,filename,Title,Date Created,Dimensions,Artist,mean_grayscale,mean_blue,mean_green,mean_red,std_grayscale,std_blue,std_green,std_red
0,WHITE,0.jpg," Symphony in White, No. 1 The White Girl", 1862, overall 213 x 107.9 cm (83 7/8 x 42 1/2 in.)framed 244.2 x 136.5 x 8.3 cm (96 1/8 x 53 3/4 x 3 1/4 in.), James McNeill Whistler,0.7074684873306262,0.5925480629226652,0.7022547948840959,0.7598595714250548,0.11391897202549651,0.11265844445588509,0.11795720331966952,0.10806163988297948
1,WHITE,1.jpg, The Cradle, 1872, w460 x h560 cm, Berthe Morisot,0.5911439621056601,0.5195394141283987,0.5862867385621583,0.6269515026662096,0.20401315316404633,0.18652008189194616,0.20394731209395872,0.2121461686158213
2,WHITE,2.jpg, The Magpie, 1868 - 1869, w1300 x h890 mm, Claude Monet,0.6871408390689412,0.6380969650463661,0.6875551069676101,0.7043088660098362,0.13368438061072047,0.12241917441950326,0.1334326586418463,0.1399088472927891
3,WHITE,3.jpg, Summer evening on Skagen Sønderstrand, 1893, 100 × 150 cm, Peder Severin Krøyer,0.6966854120921403,0.7131582839629743,0.7008904977745062,0.6823753572308487,0.11914538835548986,0.07143601344749659,0.11365131191803432,0.15383831974956516
4,WHITE,4.jpg," Composition with red, yellow and blue", 1927, 40 x 52 cm, Piet Mondriaan,0.8366205520393709,0.802547384436734,0.8298296840196948,0.8624694205990333,0.24692106748113118,0.2798778026281481,0.2618118758078326,0.2417624678561231
5,WHITE,5.jpg, Man Lying on a Wall, 1957 - 1957, w50.9 x h40.7 cms (without frame), LS Lowry,0.7723472342891978,0.7284828994525879,0.7710638759479541,0.7909547618004015,0.16230348131030417,0.18960427117470444,0.16405805049872668,0.15354838552192882
6,WHITE,6.jpg, Mother, 1895,, Joaquín Sorolla y Bastida,0.6868691484841443,0.6131647085642737,0.6876111471035555,0.7124348458365881,0.11876799154655322,0.1183055097068027,0.11789688906877921,0.1233707436745446
7,WHITE,7.jpg, Portrait of Ann, 1957 - 1957, w30.5 x h35.5 cms (without frame), LS Lowry,0.7789175967828158,0.7705144424436783,0.7753883331241838,0.7889396385691432,0.22546467094633482,0.24570901927924146,0.2354076420737965,0.20923021295732613
8,WHITE,8.jpg, A View from Dosseringen near the Sortedam Lake Looking towards the Suburb Nørrebro outside Copenhagen, 1838, w71.5 x h53 cm (Without frame), Christen Købke,0.7115323955016583,0.6247387178697383,0.7032961807246352,0.7595546330281748,0.21413219075238607,0.2118973114923751,0.2188673318678935,0.21053516996082844
9,WHITE,9.jpg, The Cripples, 1949 - 1949, w101.5 x h76 cms (without frame), LS Lowry,0.6859093666884223,0.6684281282254351,0.6869939850921231,0.6901860712642396,0.2663252539620124,0.26855265266946887,0.2670850931197178,0.2659197621781949
10,WHITE,10.jpg, Composition 10 in black and white, 1915, w110 x h85 cm, Piet Mondriaan,0.8293523525548997,0.8262265034217507,0.8345966581265503,0.8201846962794755,0.14969965165412033,0.1497400270960425,0.14957665120552346,0.15007821661554951
11,WHITE,11.jpg, A holiday at Mentone, 1888, w60.8 x h46.2 cm, Charles CONDER,0.7074579265670073,0.6753412393956552,0.7160770944150201,0.7022830150954115,0.14304909016792125,0.09933566967368532,0.13183692532179297,0.20158740239767253
12,WHITE,12.jpg, Composition in Colours / Composition No. I with Red and Blue, 1931, 50 x 50 cm, Piet Mondrian,0.7554790861214803,0.6947963331337905,0.7120306763704165,0.8631779680607251,0.3248629832768383,0.32457412110788414,0.3798084588543535,0.28063524778440596
13,WHITE,13.jpg, Composition in colour A, 1917," 50,3 x 45,3 cm", Piet Mondriaan,0.7773801604709291,0.7708368333400382,0.7637460749388714,0.8065930819653035,0.27629936140878414,0.2839681183494899,0.2915240589625643,0.27791443640090857
14,WHITE,14.jpg, Asparagus, 1880, w210 x h160 cm, Edouard Manet,0.6642955248549011,0.5747881832968771,0.6685849205200766,0.6886790719513315,0.13884153653205528,0.12088231068679413,0.1404478010962908,0.14299749616786037
15,WHITE,15.jpg, Stroyuschiysya dom [House under construction], 1915-16, w445 x h970 cm, Kasimir MALEVICH,0.5729454907604827,0.5100615060506334,0.56102488602337,0.6194468078037492,0.255362616627456,0.2520407701612482,0.2681257812605293,0.2601016692983758
16,WHITE,16.jpg," Boston Harbor, Sunset", 1850-1855, Canvas  24 x 39 1/4 in. (60.96 x 99.7 cm), Fitz Henry Lane,0.6975726707467889,0.667127196498132,0.6964212569041949,0.7110004585283979,0.21812455111739065,0.21932642064657612,0.2179783807928697,0.22026860140939522
17,WHITE,17.jpg, So the Treasure Was Divided, 1905/1905, w29.5 x h19.5 in (Complete),,0.6290697385467472,0.5810127213110029,0.6280933604647649,0.6486108550944185,0.2568433352177585,0.25621079475431663,0.26803441209292767,0.23852086779751672
18,WHITE,18.jpg, Painterly Realism of a Football Player – Color Masses in the 4th Dimension, summer-fall 1915, Original 27 × 17 1/2 in. (71 × 44.5 cm); present 27 5/8 × 17 5/16 in. (70.2 × 44.1 cm)," Kazimir Malevich (Russian, born Ukraine, 1878–1935)",0.7370470583031568,0.7068417200398927,0.7375059617698196,0.7472198388485833,0.22273459039252547,0.23324728189634336,0.22758189942431944,0.21983424048628755
19,WHITE,19.jpg," Market Scene, Northern Town", 1939 - 1939, w61.1 x h45.7 cms (without frame), LS Lowry,0.6928962783145288,0.698536211634773,0.6952612661187945,0.6861771600820507,0.2413996962287333,0.23944090408145274,0.24048021253173993,0.24650015940762623
20,WHITE,20.jpg, A stroll on the beach, 1896, w161 x h69 cm (Without frame), Michael Ancher,0.7550181451955892,0.7146436277662062,0.7491522228219851,0.7813584489211174,0.1559425784747915,0.15886199409487245,0.15939158713970583,0.15761155927329878
21,WHITE,21.jpg," Snow, Boulevard de Clichy, Paris", 1886, w25.81 x h18.94 in, Paul Signac,0.7155741670184185,0.7293803021724158,0.7089227704882237,0.7235929973046697,0.12272769500597897,0.12125402029920407,0.12387860014440485,0.1247059811239968
22,WHITE,22.jpg, Selfish Heart, 1951, 67 x 73 cm, Olga Costa,0.7260660332930444,0.6165487322020031,0.7326918338914331,0.7531916358495957,0.2222582645862747,0.21140946461911359,0.22965066968410727,0.21577135008639503
23,WHITE,23.jpg," Composition en rouge, jaune et bleu Composition in Red, Yellow and Blue", 1927,, Piet Mondrian,0.8026647004584683,0.789519734033515,0.7843376226053098,0.8435277745921632,0.20681364252503456,0.25396956529131476,0.2484509104024095,0.14265618813932548
24,WHITE,24.jpg, Pilgrims going to Mecca, 1861, w2420 x h1610 cm, Léon Belly,0.6256554620419142,0.5745484516010368,0.6189667039533714,0.6575492567777044,0.2430289429289301,0.26917910091857267,0.2462749124527313,0.22847171094904076
25,WHITE,25.jpg, A moura, 1919, 60 x 45 cm, Dario Villares Barbosa,0.691701675139735,0.6391586854505196,0.6883716918056711,0.7175164052494398,0.16713566382706802,0.1313620593283231,0.1634317363156685,0.20169617342211077
26,WHITE,26.jpg, The Loing's Canal, 1892, w930 x h730 mm, Alfred Sisley,0.7046240897730955,0.6571804326258466,0.7078825454790721,0.7156118011719993,0.1226514637093385,0.15693746748555912,0.12275559632137818,0.11296324398058773
27,WHITE,27.jpg," Ram's Head, Blue Morning Glory", 1938, 20 x 30 inches, Georgia O'Keeffe,0.7654644756574659,0.7282964859432326,0.7612550908960999,0.7873711952500383,0.15997324102752797,0.20422667296668742,0.1589604321362746,0.16950927031811142
28,WHITE,28.jpg, Trade (Gifts for Trading Land With White People), 1992/1992, 86 × 170 in. (218.4 × 431.8 cm), Jaune Quick-to-See Smith,0.6832532059460986,0.6031237972636002,0.6727804853836318,0.7332303395691994,0.28115782813089707,0.3551784859550789,0.29545860288310677,0.2519005186532957
29,WHITE,29.jpg, Introducción a la esperanza, 1963, w2090 x h1880 mm, Luis Felipe NOE,0.5283804965116016,0.48800346808384165,0.5249460863870705,0.5499397468466914,0.31543783537921416,0.33489849032805935,0.31947830050475984,0.30654526206469124
30,WHITE,30.jpg, Saint Werner, 1535/1538," 176 x 48 x 3,5 cm", Master of Messkirch,0.7732721639238022,0.7194032766267201,0.7708134565976154,0.7978595470075668,0.2675841635290077,0.3193333725743609,0.26807974421411274,0.2569361747901251
31,WHITE,31.jpg, 1935 (white relief), ., w800 x h545 cm, Ben Nicholson,0.8374825586084755,0.8055081449334014,0.8307416571748688,0.8624636164420961,0.04641508500318894,0.052620473801477836,0.04547513240264427,0.04626083985762913
32,WHITE,32.jpg, My Last Door, 1952-1954, 48 1/4 x 84 3/16 inches, Georgia O'Keeffe,0.839257434974929,0.8552169063483267,0.8289762327779157,0.8536253264588097,0.23472799982385684,0.2343675757988003,0.23232517965062113,0.23970424501313503
33,WHITE,33.jpg, The West Façade of the Church of Saint Mary in Utrecht, 1662, w512 x h651 mm, Pieter Jansz. Saenredam,0.7205777497843954,0.6490079394862602,0.7280277334627061,0.7321683789930349,0.18793989806243536,0.22398367598784288,0.19036140788538192,0.17234157349883708
34,WHITE,34.jpg, Washing on the Ice, 1900, w180 x h125 cm (without frame), Pekka Halonen,0.7451539368495717,0.6764681264721795,0.7432429906298892,0.7740969282199914,0.20378983164771375,0.21338792220482813,0.20633533398229267,0.19670286832870318
35,WHITE,35.jpg, Winter Harmony, c. 1890/1900, overall 65.4 x 81.1 cm (25 3/4 x 31 15/16 in.)framed 85.1 x 100 x 5.7 cm (33 1/2 x 39 3/8 x 2 1/4 in.), John Henry Twachtman,0.7629616895620644,0.7921818406342623,0.7696268467476408,0.7391394917039583,0.08667520834749062,0.07977085204281052,0.0846251041793298,0.09646535607447017
36,WHITE,36.jpg, Portrait of a Young Woman with a White Coif, 1541, Diameter  4 3/8 in. (11.11 cm), Hans Holbein the Younger,0.49424813451393884,0.428680941290152,0.4949690168098393,0.5168717035140569,0.3539646050487785,0.324778846423382,0.35805994360241644,0.3580085765812061
37,WHITE,37.jpg, Gentleman Looking at Something, 1960 - 1960, w10 x h24.5 cms (without frame), LS Lowry,0.8103602199895564,0.7796789260468348,0.8129015200686731,0.8166121376129586,0.17634312991569584,0.24415284573525387,0.17406637727922766,0.15995918270148626
